,"Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Cluster 6","Cluster 7","Cluster 8","Cluster 9","Cluster 10"
"Action",0.18,0.78,0.12,0.00,0.00,0.10,0.00,0.00,0.00,0.00
"Adventure",0.19,0.35,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Animation",0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Childrens",0.39,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Comedy",0.36,0.07,0.06,0.00,1.00,0.11,1.00,0.02,1.00,0.16
"Crime",0.03,0.01,0.41,0.00,0.00,0.05,0.00,0.00,0.00,0.00
"Documentary",0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
"Drama",0.31,0.11,0.38,1.00,0.00,0.66,0.00,0.00,1.00,0.00
"Fantasy",0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Film Noir",0.00,0.00,0.11,0.00,0.00,0.01,0.00,0.00,0.00,0.00
"Horror",0.02,0.08,0.02,0.00,0.00,0.02,0.00,0.00,0.00,1.00
"Musical",0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mystery",0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Romance",0.10,0.05,0.04,0.00,0.00,1.00,1.00,0.00,0.00,0.00
"Sci-Fi",0.07,0.35,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Thriller",0.04,0.38,0.61,0.00,0.00,0.14,0.00,0.00,0.00,0.16
"War",0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00
"Western",0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,"Misc","Action-Adventure-SciFi","Crime-Mystery-Thriller","Drama","Comedy","Romance","Romantic Comedies","Documentary","Dramatic Comedies","Horror"
